StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,GS_1,GS_2,GS_3,GS_4,GS_5,GS_6,GS_7,GS_8,GS_9,GS_10,GA_1,GA_2,GA_3,GA_4,GA_5,GA_6,GA_7,GA_8,GA_9,GA_11,GA_10,WA_1,WA_2,WA_3,WA_4,WA_5,WA_6,WA_7,WA_8,WA_9,WA_10,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,WD_1,WD_2,WD_3,WD_4,WD_5,WD_6,WD_7,WD_8,WD_9,WD_10,GD_1,GD_2,GD_3,GD_4,GD_5,GD_6,GD_7,GD_8,GD_9,GD_10,GK_1,GK_2,GK_3,GK_4,GK_5,GK_6,GK_7,GK_8,GK_9
2022-06-16 01:29:55,2022-06-16 01:33:17,IP Address,86.180.122.0,100,201,True,2022-06-16 01:33:18,R_3EWM0iH7QoGJxvL,,,,,52.4259,-1.4628,anonymous,EN,,,,1,3,,,,2,,,,3,,,2,,1,,,,,,,2,,,1,,3,,,,,1,,3,,,2,,,,3,2,,,,,,1,,3,,,,,1,,2,,,,1,,,,,2,3,
2022-06-16 01:28:51,2022-06-16 01:33:26,IP Address,188.213.137.61,100,274,True,2022-06-16 01:33:26,R_qFzo2d9k2QMF6ff,,,,,51.5074,-0.1196,anonymous,EN,,1,,3,2,,,,,,,,3,1,,2,,,,,,,,,3,,,2,,,1,2,,1,,,3,,,,,,,3,2,,,1,,,,,,,,,1,,,3,2,,2,,,,,,1,3,
2022-06-16 01:33:07,2022-06-16 01:35:25,IP Address,1.121.202.159,100,138,True,2022-06-16 01:35:25,R_WedD7bmAuJAsfct,,,,,-34.9274,138.6005,anonymous,EN,,2,,,3,1,,,,,,1,3,2,,,,,,,,,,,1,,,2,,3,,,,1,2,,,,,3,,,,3,2,,,,,,,1,2,3,,,1,,,,,,,,1,,,,2,3,
2022-06-16 01:37:58,2022-06-16 01:41:05,IP Address,195.89.25.66,100,186,True,2022-06-16 01:41:05,R_1od12bBU9DqvXnJ,,,,,52.618,-1.6918,anonymous,EN,,,2,3,,,,,1,,,,3,,,2,1,,,,,,,,2,,,1,,3,,,,,,,3,,1,2,,,,3,2,,,1,,,,,,,,,3,1,,2,,,1,,,,,,2,3,
2022-06-16 01:38:32,2022-06-16 01:41:20,IP Address,110.174.154.242,100,167,True,2022-06-16 01:41:20,R_1lc3EkclOV0DhrR,,,,,-37.8159,144.9669,anonymous,EN,,,1,3,,,2,,,,,1,,,,2,,3,,,,,,,2,,,3,,1,,1,,3,2,,,,,,,,,1,3,,,,2,,,,,3,,,2,,,1,,,2,,,,,1,,3,
2022-06-16 01:46:29,2022-06-16 01:49:51,IP Address,149.167.150.27,100,201,True,2022-06-16 01:49:51,R_3KN1iZEUmA0e3uK,,,,,-37.8159,144.9669,anonymous,EN,,,,2,3,,1,,,,,,1,2,,3,,,,,,,,,2,,,3,,,1,,,2,,,,,,3,,1,,2,3,,,,1,,,,,3,,,,1,,2,,,,,1,,,,2,3,
2022-06-16 01:47:55,2022-06-16 01:52:32,IP Address,1.146.142.60,100,276,True,2022-06-16 01:52:32,R_qUD3EK41AusAbcd,,,,,-31.9474,115.8648,anonymous,EN,1,,,3,2,,,,,,,,3,2,,,1,,,,,,,2,3,,,1,,,,,,,2,,3,,,,,1,,2,3,1,,,,,,,,3,2,,,,,1,,,3,,,,,,1,2,
2022-06-16 01:48:42,2022-06-16 01:52:49,IP Address,121.45.95.146,100,246,True,2022-06-16 01:52:49,R_xxrIq9aA653RkQN,,,,,-34.9274,138.6005,anonymous,EN,,,,1,2,,3,,,,,,3,2,,,,1,,,,,,1,,,,3,,2,,,,2,,,3,,1,,,,,,3,,,1,2,,,,3,,,,1,2,,,,,,,,2,,,3,1,
2022-06-16 01:50:02,2022-06-16 01:52:58,IP Address,1.145.155.101,100,176,True,2022-06-16 01:52:59,R_pQzbOUwgoQpwbOF,,,,,-37.8159,144.9669,anonymous,EN,,1,,,2,,,,3,,,,3,2,,,,1,,,,,,,3,,,1,,2,,,,,,,2,,1,3,,,,2,3,,1,,,,,,,,3,,2,,,1,,,1,,,,,,2,3,
2022-06-16 01:49:34,2022-06-16 01:53:06,IP Address,122.104.235.179,100,212,True,2022-06-16 01:53:06,R_AhehWKN8mYvMuvn,,,,,-37.8159,144.9669,anonymous,EN,,,,3,2,,,,1,,,,3,,,2,,1,,,,2,,,,,,3,,1,,,,3,,,2,,1,,,,,2,3,,,,,,1,,,3,,,1,,,2,,,,,,1,,,2,3,
2022-06-16 01:52:52,2022-06-16 01:55:03,IP Address,147.161.9.104,100,130,True,2022-06-16 01:55:04,R_1nT4cmd0cS4wadD,,,,,32.0668,34.7649,anonymous,EN,1,,3,,2,,,,,,,,1,2,,3,,,,,,,,,,,,3,,1,2,,,1,,,3,,,2,,,,2,3,,,1,,,,,,3,,2,,1,,,,,2,,1,,,,3,,
2022-06-16 01:56:44,2022-06-16 01:58:57,IP Address,49.224.110.1,100,132,True,2022-06-16 01:58:57,R_1P5UkBgJ9vQdeQi,,,,,-36.8506,174.7679,anonymous,EN,,,,1,3,,,,2,,,,,3,,1,,2,,,,,,,3,,,1,,2,,,1,,,,,,3,2,,,,2,3,,,,1,,,,1,,3,,,,,2,,,,,,1,,,3,2,
2022-06-16 01:56:57,2022-06-16 02:00:25,IP Address,49.194.35.230,100,207,True,2022-06-16 02:00:25,R_2YGvzD4mZV2X3WP,,,,,-31.9474,115.8648,anonymous,EN,2,1,,,3,,,,,,,2,3,1,,,,,,,,,,2,3,,,1,,,,,,,2,,1,,,3,,,,2,3,1,,,,,,,2,3,1,,,,,,,,,,,2,,,1,3,
2022-06-16 01:57:54,2022-06-16 02:01:01,IP Address,58.110.216.133,100,187,True,2022-06-16 02:01:01,R_yVIOqXxVVNUdoPf,,,,,-34.4272,150.8942,anonymous,EN,,,,3,2,,,,1,,,,2,3,,1,,,,,,,,,,,,1,,2,3,,,1,,,3,,,2,,,1,2,3,,,,,,,,,3,,,2,1,,,,,1,,,,,,2,3,
2022-06-16 01:55:37,2022-06-16 02:01:12,IP Address,1.124.28.78,100,335,True,2022-06-16 02:01:12,R_1I76bxizRTCdDyk,,,,,-34.9274,138.6005,anonymous,EN,,2,,1,3,,,,,,,3,2,,,,,,,,1,,2,3,,,,,,1,,,,,,,3,2,,,,1,,,,1,3,,,,2,,3,,,2,,,,1,,,,,,2,,1,,3,
2022-06-16 02:00:17,2022-06-16 02:02:56,IP Address,90.197.242.22,100,158,True,2022-06-16 02:02:56,R_2wN7lHibB1gpCYL,,,,,51.4483,-0.1383,anonymous,EN,,1,3,2,,,,,,,,,2,3,,1,,,,,,,,1,,,,2,,3,,,,,2,,3,,,,,1,,2,3,1,,,,,,,,1,,,3,,,2,,,2,,,,,,1,3,
2022-06-16 01:59:37,2022-06-16 02:03:36,IP Address,60.241.191.72,100,239,True,2022-06-16 02:03:36,R_2SxG4IOHMtHUnuG,,,,,-34.9274,138.6005,anonymous,EN,,,,3,,,2,,1,,,1,3,,,2,,,,,,,,,1,,,3,,,2,,,1,,,3,,2,,,,,3,2,,,,,1,,,,1,3,,2,,,,,,2,,,,,,1,3,
2022-06-16 01:58:54,2022-06-16 02:05:04,IP Address,220.253.29.44,100,369,True,2022-06-16 02:05:04,R_C1UnvdiT3i6hiCJ,,,,,-37.8159,144.9669,anonymous,EN,,,,3,2,,,,1,,,,3,,,2,,1,,,,,,,1,,,2,,3,,,,3,,,1,,2,,,,1,,3,,,,,,2,,,1,,,3,,,2,,,,,1,,,,2,3,
2022-06-16 02:02:14,2022-06-16 02:05:57,IP Address,51.186.55.209,100,223,True,2022-06-16 02:05:58,R_2YeNmrlGikPxC5V,,,,,51.6004,-0.1168,anonymous,EN,,2,,3,1,,,,,,,,3,2,,1,,,,,,,,,,,2,3,,,1,,,,3,,2,,1,,,,3,,1,,,2,,,,,2,,,,3,,,,1,,1,,,,,,2,3,
2022-06-16 02:08:44,2022-06-16 02:16:17,IP Address,60.226.195.149,100,452,True,2022-06-16 02:16:17,R_BrDUhXVIHzd9E89,,,,,-27.4679,153.0325,anonymous,EN,,,1,3,,,,,2,,1,,,,,,3,2,,,,,,,2,,1,3,,,,,,1,,,3,,,,,2,,3,2,,,,,1,,,,3,,,2,,,1,,,1,,,,,2,,3,
2022-06-16 02:15:59,2022-06-16 02:18:14,IP Address,203.40.14.219,100,134,True,2022-06-16 02:18:14,R_1nW41nivVFKrDzu,,,,,-33.8715,151.2006,anonymous,EN,,2,,3,,,,,1,,,2,1,,,3,,,,,,,,,,,,1,,2,3,,,,,,3,,,2,1,,,1,,,3,,2,,,,,,,,2,3,,1,,,1,,,,,,2,3,
2022-06-16 02:20:14,2022-06-16 02:24:02,IP Address,58.174.54.242,100,227,True,2022-06-16 02:24:03,R_3qqdNTcjXrwJblq,,,,,-34.9274,138.6005,anonymous,EN,,,,3,1,,2,,,,,,3,1,,2,,,,,,,,,1,,,3,,2,,,2,3,,,,,,1,,,,3,2,,1,,,,,,,2,,,3,,1,,,,1,,,,,,2,3,
2022-06-16 02:15:28,2022-06-16 02:25:14,IP Address,115.64.30.24,100,585,True,2022-06-16 02:25:14,R_1Q5CCz4hh4Z33PA,,,,,-37.8159,144.9669,anonymous,EN,,,,3,2,,1,,,,,,3,2,,,,1,,,,,,1,,,,3,,2,,,,2,,,,,,3,,1,,3,,,2,,1,,,,,3,,,,1,,2,,,2,,,,,,1,3,
2022-06-16 02:23:13,2022-06-16 02:25:41,IP Address,193.116.88.96,100,147,True,2022-06-16 02:25:41,R_3F2RcWsMIrWG9yh,,,,,-27.4679,153.0325,anonymous,EN,,3,,2,1,,,,,,,,3,,,2,,1,,,,,,,3,,,2,,,1,,,,2,,3,,1,,,,,2,1,3,,,,,,,,,1,,,,,3,2,,,,2,1,,,,3,
2022-06-16 02:19:13,2022-06-16 02:26:04,IP Address,124.149.27.216,100,410,True,2022-06-16 02:26:04,R_31sDMmH3ulzzBr4,,,,,-35.2828,149.1283,anonymous,EN,,1,,2,3,,,,,,,,3,,,2,,1,,,,,,,,,,3,,1,2,,,2,3,,1,,,,,,,2,3,1,,,,,,,,1,,,2,,,3,,,2,,,,,1,,3,
2022-06-16 02:25:08,2022-06-16 02:26:39,IP Address,121.200.22.106,100,91,True,2022-06-16 02:26:39,R_3PZTfcUmXYF61dP,,,,,-37.8159,144.9669,anonymous,EN,,,,3,2,,1,,,,,,3,,,1,,2,,,,,,,1,,,3,,2,,,,3,,,,,2,1,,,,2,3,,,,,1,,,,1,,,2,,,3,,,,2,1,,,,,3,
2022-06-16 02:23:00,2022-06-16 02:28:14,IP Address,101.185.2.237,100,313,True,2022-06-16 02:28:14,R_3lMR3bIQe3W2gSP,,,,,-34.9274,138.6005,anonymous,EN,,,,3,1,,,,2,,,,3,,,,2,1,,,,,,1,,,,3,,2,,,,3,,,1,,,2,,,,2,3,1,,,,,,,,,,,3,1,,2,,,1,,,,,,2,3,
2022-06-16 02:29:38,2022-06-16 02:32:08,IP Address,149.167.143.243,100,150,True,2022-06-16 02:32:08,R_2dWPVHIf2z0JG6S,,,,,-37.8159,144.9669,anonymous,EN,,,2,1,,,3,,,,,,1,,,2,,3,,,,,,,,3,,1,,,2,,,2,,,1,,,3,,,,2,1,,,,3,,,,,1,,,3,,,2,,,2,,,,,,1,3,
2022-06-16 02:29:40,2022-06-16 02:32:24,IP Address,70.74.204.119,100,163,True,2022-06-16 02:32:24,R_3haTePTZsTRyYDL,,,,,53.4179,-113.5785,anonymous,EN,,,,3,,,1,,2,,,,1,,,3,2,,,,,,,,3,,,1,,2,,,,,1,,,,3,2,,,,2,3,,1,,,,,,,2,,,1,,,3,,,1,,,,,,2,3,
2022-06-16 02:29:48,2022-06-16 02:33:16,IP Address,86.178.78.240,100,208,True,2022-06-16 02:33:16,R_28CfptwlOOywYnM,,,,,51.2279,-2.5261,anonymous,EN,,,,3,2,,1,,,,,,3,,,2,,1,,,,,,,3,,,2,,,1,1,,,,,3,,2,,,,,3,2,,,,,,1,,,,,,2,1,,,3,,2,,,,,1,,3,
2022-06-16 02:29:31,2022-06-16 02:33:53,IP Address,1.136.111.28,100,262,True,2022-06-16 02:33:54,R_2EiVjRoVjCzVBal,,,,,-37.8159,144.9669,anonymous,EN,,,1,,2,,3,,,,,,3,1,,2,,,,,,,,,,,,3,,2,1,,,3,1,,2,,,,,,,3,2,,,,1,,,,,3,,,,1,,2,,,1,,3,,,,,2,
2022-06-16 02:33:02,2022-06-16 02:36:33,IP Address,14.202.126.158,100,211,True,2022-06-16 02:36:34,R_3Mffnvd6mNy5ZZK,,,,,-33.8715,151.2006,anonymous,EN,,2,,,3,,,1,,,,,2,,,1,,3,,,,,,,3,,,,2,,1,3,,,2,,,,1,,,,1,3,2,,,,,,,,3,,,,,,,2,1,,,,,1,,3,,2,
2022-06-16 02:39:34,2022-06-16 02:43:24,IP Address,218.215.213.199,100,230,True,2022-06-16 02:43:25,R_3rGwWKcHpTGCqRt,,,,,-31.9305,115.8949,anonymous,EN,,,,3,,,1,,2,,,,2,3,,1,,,,,,,,,,,,1,,3,2,,,,1,,3,,,2,,,,2,3,1,,,,,,,,2,,,3,,,1,,,2,,,,,,1,3,
2022-06-16 02:51:52,2022-06-16 02:53:29,IP Address,203.213.49.226,100,96,True,2022-06-16 02:53:29,R_3LZRpERECGxxHGf,,,,,-33.8715,151.2006,anonymous,EN,,1,,3,,,2,,,,,,1,3,,2,,,,,,,,,2,,,3,,1,,,,2,1,,3,,,,,,1,2,3,,,,,,,,,,,,3,,,2,1,,1,,,,,,3,2,
2022-06-16 02:50:23,2022-06-16 02:54:53,IP Address,175.37.118.226,100,269,True,2022-06-16 02:54:53,R_3Ia7Ub8Qs9c69Vv,,,,,-33.8715,151.2006,anonymous,EN,,1,,3,,,,,2,,,,2,3,,1,,,,,,,,,,,,2,,3,1,,,2,,,3,,,1,,,,,3,,,,,,2,1,,3,,,,2,,1,,,,,,1,,,3,2,
2022-06-16 02:50:51,2022-06-16 02:56:06,IP Address,203.206.38.46,100,315,True,2022-06-16 02:56:07,R_3rHQXfVw05nfZSO,,,,,-43.1123,147.2309,anonymous,EN,,1,,3,2,,,,,,,,3,1,,,,2,,,,,,,1,,,2,,3,,,,3,,,,,1,2,,,,2,3,,,,1,,,,,1,,,3,,,2,,,1,,,,,,2,3,
2022-06-16 02:59:36,2022-06-16 03:01:56,IP Address,120.17.8.188,100,140,True,2022-06-16 03:01:57,R_PRoc1ZEeBpSYY81,,,,,-33.8601,151.2101,anonymous,EN,,,,3,1,,,,2,,,,2,,,3,1,,,,,,,,1,,,2,,3,,,,3,1,,,,,2,,,,2,1,3,,,,,,,1,,,,3,,,2,,,,,,,,1,2,3,
2022-06-16 02:58:55,2022-06-16 03:03:50,IP Address,118.211.41.178,100,294,True,2022-06-16 03:03:50,R_sGdvdVqfBoSvj8t,,,,,-34.9274,138.6005,anonymous,EN,,,,3,1,,,,2,,,,2,1,,,3,,,,,,,,1,,,3,,2,,,,2,,,3,,1,,,,1,2,3,,,,,,,,,1,,,2,,,3,,,2,,1,,,,,3,
2022-06-16 03:01:45,2022-06-16 03:04:19,IP Address,81.159.249.67,100,153,True,2022-06-16 03:04:19,R_1NwagrnLb3DuJE8,,,,,53.4834,-2.0596,anonymous,EN,,,,3,1,,,,2,,,,2,,,1,,3,,,,,,,3,,,2,,,1,,,3,,,,,1,2,,,,1,3,2,,,,,,,,1,,,3,,,2,,,,,,2,,,1,3,
2022-06-16 03:06:19,2022-06-16 03:10:28,IP Address,158.125.116.19,100,249,True,2022-06-16 03:10:28,R_1E4Ka1RrxtzibKD,,,,,52.6494,-1.1203,anonymous,EN,,1,,3,2,,,,,,,,3,,,,1,2,,,,,,,3,,,2,1,,,,,,2,,3,,,1,,,,3,2,,,,1,,,,,3,,,,,,2,1,,3,,,,,,2,1,
2022-06-16 03:09:39,2022-06-16 03:11:53,IP Address,193.119.58.54,100,133,True,2022-06-16 03:11:54,R_3KSLU4cw5nwBfYX,,,,,-35.2828,149.1283,anonymous,EN,,,,,3,,2,,1,,,,,3,,2,,1,,,,,,,1,,,3,,,2,,,1,,,3,,2,,,,1,3,2,,,,,,,,,2,,,,3,,1,,,,,1,,,,2,3,
2022-06-16 03:13:04,2022-06-16 03:15:18,IP Address,86.27.159.79,100,133,True,2022-06-16 03:15:19,R_3MFFHQgoBG4ZJjK,,,,,51.3115,-0.2918,anonymous,EN,,,2,3,1,,,,,,,,,,1,,2,3,,,,,,,,,,1,,3,2,1,,,,,3,,,2,,,2,3,1,,,,,,,,,,,,2,3,,1,,,1,,,,,,3,2,
2022-06-16 03:16:43,2022-06-16 03:23:40,IP Address,101.173.133.38,100,416,True,2022-06-16 03:23:40,R_4Je8AM8vBjC82VH,,,,,-37.8159,144.9669,anonymous,EN,,3,,,,,2,,1,,,,3,1,,2,,,,,,,,,,2,,3,,1,,,,2,3,,1,,,,,,,2,3,,,,1,,,,,3,,,1,,,2,,,2,,,,,,1,3,
2022-06-16 03:24:06,2022-06-16 03:28:23,IP Address,101.190.189.137,100,257,True,2022-06-16 03:28:23,R_3hn1A7ExknYJFn9,,,,,-33.8715,151.2006,anonymous,EN,,,,3,2,,,,1,,,,3,2,,1,,,,,,,,,2,,,1,,3,,2,,1,,,,,,3,,,,2,3,,,,1,,,,1,3,,,2,,,,,,3,,,,,,1,2,
2022-06-16 03:30:15,2022-06-16 03:34:04,IP Address,49.185.194.218,100,229,True,2022-06-16 03:34:04,R_22KcjfWTvXOuI8R,,,,,-37.8159,144.9669,anonymous,EN,,,,,3,,2,1,,,,,3,1,,2,,,,,,,,,1,,,3,,,2,1,,3,,,2,,,,,,,3,2,,,,,,,1,1,3,,,,,,2,,,,,,,,1,2,3,
2022-06-16 03:31:23,2022-06-16 03:36:21,IP Address,60.240.124.52,100,298,True,2022-06-16 03:36:21,R_af0oMyucCPcmswx,,,,,-27.4679,153.0325,anonymous,EN,,1,,,3,,2,,,,,,3,1,,,2,,,,,,,,1,,,2,,3,,,,1,,,3,,,2,,,,2,3,1,,,,,,,,,1,,2,,,3,,,,,,,,1,2,3,
2022-06-16 03:40:09,2022-06-16 03:42:33,IP Address,94.192.126.153,100,144,True,2022-06-16 03:42:34,R_bPB8STQ7tCiYE2B,,,,,53.8081,-1.5894,anonymous,EN,,1,,3,2,,,,,,,,,1,,3,,2,,,,,,,1,,,2,,3,,2,,,3,,,,,1,,,,3,2,,,,,,1,,,3,1,,2,,,,,,2,,,,,,1,3,
2022-06-16 03:41:02,2022-06-16 03:43:55,IP Address,41.13.192.139,100,172,True,2022-06-16 03:43:55,R_3QEoFUW5No8cIIg,,,,,-34.0486,18.4811,anonymous,EN,,,,3,2,,1,,,,,,,3,,2,,1,,,,,,,1,,,3,,,2,1,,3,,,2,,,,,,,3,2,,,,1,,,,,3,,,1,,,2,,,1,,,,,,3,2,
2022-06-16 03:38:57,2022-06-16 03:44:21,IP Address,220.236.86.138,100,324,True,2022-06-16 03:44:21,R_3GE7V90vjzJVdSN,,,,,-33.4535,151.3183,anonymous,EN,,,3,2,1,,,,,,,,2,3,,,,1,,,,,,,1,,,2,,3,,2,,,1,,3,,,,,,3,1,2,,,,,,,,,3,,,1,2,,,,,1,,,,,,2,3,
2022-06-16 03:40:58,2022-06-16 03:44:38,IP Address,110.175.110.12,100,220,True,2022-06-16 03:44:39,R_22JRTtpguNongHY,,,,,-31.9474,115.8648,anonymous,EN,,,,3,,,1,,2,,,,3,1,,2,,,,,,,,,,,,3,,2,1,,,3,,,,,2,1,,,,3,2,,,,1,,,,,1,,,3,,,2,,,2,,,,,,1,3,
2022-06-16 03:50:20,2022-06-16 03:52:54,IP Address,203.221.99.93,100,153,True,2022-06-16 03:52:54,R_0j6tRXsF3dJchd7,,,,,-31.9474,115.8648,anonymous,EN,,1,2,3,,,,,,,,,1,,,2,3,,,,,3,,1,2,,,,,,,,,2,,,,,,1,,3,3,,2,,,,,,1,,,3,,,,1,,,2,,3,,,,,2,1,,
2022-06-16 03:53:30,2022-06-16 03:56:00,IP Address,175.33.90.92,100,150,True,2022-06-16 03:56:00,R_3fxEu7RK2uOp8Id,,,,,-37.8159,144.9669,anonymous,EN,,2,1,3,,,,,,,,,2,,,3,,1,,,,,,,2,,,3,,1,,,,2,3,,,,,1,,,,3,,,,,2,,1,,,3,1,,,,,2,,,,2,,,,,1,3,
2022-06-16 03:55:29,2022-06-16 03:57:33,IP Address,92.40.180.84,100,123,True,2022-06-16 03:57:33,R_2uy1L7fLwrKyb3f,,,,,51.4964,-0.1224,anonymous,EN,,,,3,2,,,,1,,,,3,1,,,,2,,,,,,,2,,,3,,,1,2,,,,,3,,1,,,,2,3,,,,,1,,,,2,1,3,,,,,,,,1,,,,,,2,3,
2022-06-16 03:58:01,2022-06-16 04:00:33,IP Address,124.189.133.222,100,151,True,2022-06-16 04:00:33,R_pH3uzi1STRxhbrz,,,,,-31.9474,115.8648,anonymous,EN,,2,,3,1,,,,,,,,3,,,,2,1,,,,,,,,,,3,2,,1,,,1,2,,3,,,,,,1,2,3,,,,,,,,,,1,,2,,,3,,,,,,,,2,1,3,
2022-06-16 03:55:41,2022-06-16 04:03:29,IP Address,124.184.208.199,100,468,True,2022-06-16 04:03:30,R_DctEItyWHU8S081,,,,,-37.8159,144.9669,anonymous,EN,1,,3,,,,2,,,,,,,2,,3,,1,,,,,,1,,,,3,,2,,1,,3,,,2,,,,,,,1,3,,,,2,,,,,3,2,,,,,,1,,1,,3,,,,,2,
2022-06-16 04:07:39,2022-06-16 04:10:28,IP Address,114.74.247.162,100,169,True,2022-06-16 04:10:28,R_24PnTotjJEBseGM,,,,,-33.8715,151.2006,anonymous,EN,,,,3,2,,1,,,,,,1,2,,3,,,,,,,,,1,,,3,,2,,,,3,2,,,,,1,,,,3,2,,,1,,,,,,3,,,,2,,,1,,1,,,,,,3,2,
2022-06-16 04:16:05,2022-06-16 04:18:37,IP Address,202.168.61.225,100,151,True,2022-06-16 04:18:37,R_1DpAfa9LnNK6K6X,,,,,-34.9274,138.6005,anonymous,EN,,1,,2,3,,,,,,,,1,3,,2,,,,,,,,,3,,,2,,1,,,,3,,,,,2,,1,,1,2,3,,,,,,,,,3,,,2,,,1,,,2,,,,,1,,3,
2022-06-16 04:20:58,2022-06-16 04:24:04,IP Address,119.252.81.96,100,186,True,2022-06-16 04:24:04,R_2c01GOv8NSbRcJS,,,,,-33.8715,151.2006,anonymous,EN,,,1,3,2,,,,,,,,1,,,3,,2,,,,,,,1,,,2,,,3,1,,,,,3,,,2,,,2,3,1,,,,,,,,,2,,,3,1,,,,,,,,,,1,3,2,
2022-06-16 04:23:10,2022-06-16 04:26:55,IP Address,101.117.121.210,100,224,True,2022-06-16 04:26:55,R_sMz556p1AqY7nCF,,,,,-37.8159,144.9669,anonymous,EN,,,,3,2,,1,,,,,,3,,,2,,,,1,,,,,2,,,3,,1,,,,3,,,1,,2,,,,,2,3,1,,,,,,,,3,,,1,,,2,,,2,,1,,,,,3,
2022-06-16 04:24:55,2022-06-16 04:30:17,IP Address,120.155.24.230,100,322,True,2022-06-16 04:30:17,R_2TnMWASd1TRRm84,,,,,-33.8715,151.2006,anonymous,EN,,,,3,2,,,,1,,,,3,,,1,,2,,,,,,,3,,,2,,,1,,,2,,,3,,1,,,,1,3,2,,,,,,,,,3,,,1,,,2,,,1,,,,,,2,3,
2022-06-16 04:28:42,2022-06-16 04:31:08,IP Address,120.154.106.25,100,146,True,2022-06-16 04:31:09,R_2X69Ba8qoRpunHD,,,,,-33.8715,151.2006,anonymous,EN,1,,,3,,,2,,,,,,2,,,3,,1,,,,,,,1,,,3,,2,,,,3,1,,2,,,,,,,3,2,1,,,,,,,,3,,,,2,,1,,,,,1,,,2,3,,
2022-06-16 04:29:54,2022-06-16 04:31:52,IP Address,1.132.29.190,100,118,True,2022-06-16 04:31:52,R_10DIwjF4RRlT33V,,,,,-27.4743,153.0224,anonymous,EN,,,2,,1,,,,3,,,,2,,1,,,3,,,,,,,1,,,3,,,2,,,,,,3,,1,2,,,,2,3,,,,,,,1,,,,,3,2,,1,,,,,,,,1,2,3,
2022-06-16 04:28:49,2022-06-16 04:32:13,IP Address,121.200.42.45,100,203,True,2022-06-16 04:32:13,R_3NP54bUgdkrzwBD,,,,,-31.9474,115.8648,anonymous,EN,,1,,3,,,,,2,,,,3,2,,,,1,,,,,,,2,,,3,,1,,,,,1,,3,,,,,2,,2,3,,,1,,,,,,,,,3,,,2,1,,2,,,,,,1,3,
2022-06-16 04:31:57,2022-06-16 04:34:37,IP Address,121.210.228.152,100,160,True,2022-06-16 04:34:37,R_2S2CeYHRqfRE4sL,,,,,-27.4679,153.0325,anonymous,EN,,2,,,3,,1,,,,,,3,,,2,,1,,,,,,,1,,,3,,2,,,,,3,,,,1,2,,,1,3,2,,,,,,,,,1,,,3,,,2,,,,,,1,,,2,3,
2022-06-16 04:31:24,2022-06-16 04:36:03,IP Address,5.198.32.51,100,278,True,2022-06-16 04:36:03,R_21GiQD8VJ2xLwwx,,,,,53.7606,-0.3734,anonymous,EN,,1,,3,2,,,,,,,,3,2,,,,1,,,,,,,3,,,2,,,1,,,2,,,3,,,1,,,1,3,2,,,,,,,,,3,,,2,,,1,,,1,,,,,,2,3,
2022-06-16 04:34:09,2022-06-16 04:37:52,IP Address,111.220.171.177,100,223,True,2022-06-16 04:37:52,R_2wABnWBnUAlmi4d,,,,,-37.8159,144.9669,anonymous,EN,,,,3,1,,2,,,,,,3,1,,2,,,,,,,,,1,,,3,,,2,,,2,1,,3,,,,,,,2,3,,,,1,,,,,2,,,3,,,1,,,1,,,,,,2,3,
2022-06-16 04:43:51,2022-06-16 04:47:29,IP Address,203.166.230.163,100,218,True,2022-06-16 04:47:30,R_UlQMdeHnOIXQZB7,,,,,-33.8715,151.2006,anonymous,EN,,2,1,,3,,,,,,1,,,,,2,,3,,,,,,,1,,,,,3,2,,,,,,,,3,2,1,,,3,2,,,,,,1,,,,2,,3,,,1,,,,,,,,2,1,3,
2022-06-16 04:45:51,2022-06-16 04:50:04,IP Address,82.132.186.20,100,253,True,2022-06-16 04:50:04,R_1IBo63HAgG9pWiW,,,,,53.6946,-2.4728,anonymous,EN,,1,2,,3,,,,,,1,2,,,,,,3,,,,,,3,2,,,,1,,,3,,2,,,,,,,1,,,2,3,,,,,,,1,1,,2,,3,,,,,,,,,,,2,1,3,
2022-06-16 04:48:50,2022-06-16 04:51:01,IP Address,1.159.20.62,100,130,True,2022-06-16 04:51:01,R_20SWiEtJuoatjSf,,,,,-37.8159,144.9669,anonymous,EN,,,2,,,1,3,,,,,,3,,,2,,1,,,,,,,1,,,3,,2,,,,3,,,,,,2,1,,,2,3,,,,1,,,,,,,,2,1,,3,,,1,,2,,,,,3,
2022-06-16 04:51:05,2022-06-16 04:53:41,IP Address,124.170.25.198,100,155,True,2022-06-16 04:53:41,R_z5VeQN06XbGjStX,,,,,-37.8159,144.9669,anonymous,EN,,,,1,2,,3,,,,,,,2,,1,,,,3,,,,,,,,1,3,2,,,,2,1,,,,3,,,,,2,1,3,,,,,,,,1,,,2,,,3,,,3,,2,,,,,1,
2022-06-16 04:57:35,2022-06-16 05:01:09,IP Address,59.102.72.173,100,213,True,2022-06-16 05:01:09,R_2bJIf9SjDMjKRML,,,,,-35.2828,149.1283,anonymous,EN,1,2,,,3,,,,,,,,1,3,,,,2,,,,,,,1,,,2,,,3,,,2,,,3,,1,,,,,1,3,,,,,,,2,,2,1,,3,,,,,,,,1,,,,3,2,
