matchId,squadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers
80180404,809,80091,2,1,0,0,0,0,5,2,0,0,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1
80180404,809,80091,3,0,0,0,0,0,4,2,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
80180404,809,80091,4,0,3,0,0,0,0,0,0,0,6,1,4,0,0,0,1,0,1,0,0,1,0,0,0,3
80180404,809,80091,5,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
80180404,809,80091,6,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
80180404,809,80092,1,0,0,0,0,0,4,0,0,0,2,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0
80180404,809,80092,2,0,0,0,0,0,2,0,0,0,3,0,2,7,1,6,0,0,0,0,0,0,0,0,0,0
80180404,809,80092,3,0,0,0,0,0,3,0,0,0,3,0,2,9,0,9,0,0,1,0,0,1,0,0,0,0
80180404,809,80092,4,0,1,0,0,0,2,1,0,0,0,0,0,5,1,4,0,0,0,0,0,1,0,0,0,2
80180404,809,80092,5,0,0,0,0,0,2,1,0,0,0,0,0,7,0,7,0,0,0,0,0,1,0,0,0,0
80180404,809,80092,6,0,0,0,0,0,1,0,0,0,1,0,1,6,1,5,0,0,1,0,0,1,1,0,0,0
80180404,809,80101,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
80180404,809,80101,2,0,0,0,0,0,0,5,4,1,0,4,0,0,0,0,0,0,3,0,0,8,0,4,0,1
80180404,809,80101,3,0,1,0,0,0,5,1,1,1,0,2,0,0,0,0,1,0,0,0,0,1,1,1,0,1
80180404,809,80101,4,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,4,0,0,5,1,0,0,0
80180404,809,80101,5,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0
80180404,809,80101,6,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0
80180404,809,80105,1,0,0,0,0,0,0,3,0,1,7,1,6,0,0,0,0,0,0,0,0,3,1,0,0,1
80180404,809,80105,2,0,0,0,0,0,0,2,0,1,7,0,4,0,0,0,0,0,0,0,1,2,0,0,0,1
80180404,809,80105,3,0,0,0,0,0,0,1,0,1,6,1,4,0,0,0,0,0,1,0,0,2,0,0,0,2
80180404,809,80105,4,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0
80180404,809,80105,5,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
